title,text,subject,date,label
You won't BELIEVE what insiders revealed about the government - banned truth!!!,This one weird trick about the government changed everything and experts are FURIOUS!!! A former employee who wants to stay completely anonymous said the truth about the deleted files is UNBELIEVABLE!!! The fact that this is not on the news proves EVERYTHING!!!,conspiracies,13-Aug-20,FAKE
You won't BELIEVE what insiders revealed about the media - banned truth!!!,WAKE UP people!!! the media is a total LIE and we have PROOF!!! They deleted the evidence about the banned report but we saved it - share this before it disappears!!! Comment your reaction NOW and tag everyone you know!!!,entertainment,30-Apr-20,FAKE
MIRACLE cure for the media discovered - doctors HATE this one trick!!!,The mainstream media will NEVER show you this about the media - 100% guaranteed!!! Anonymous sources claim that the deleted files proves the entire thing was staged from the beginning!!! If you believe the official story you are being DECEIVED!!! Wake up sheeple!!!,politics,29-Jan-20,FAKE
Diplomatic update issued after diplomacy review,"Analysts said on 16-Feb-19 that diplomatic indicators remained within the expected range, citing official records. The announcement followed a month-long review in which the numbers were cross-checked against records from diplomacy. Additional documentation is expected to be made available on the public register.",politics,24-Oct-19,REAL
Officials review government figures in legislation records,The ministry announced on 05-Dec-19 that government statistics had been verified by an independent auditor. Independent observers who reviewed the materials in legislation described the process as routine and orderly. The office declined to comment beyond the prepared statement.,world,02-May-21,REAL
SHOCKING!!! vaccines secret plan EXPOSED - what they don't want you to know!!!,This one weird trick about vaccines changed everything and experts are FURIOUS!!! They deleted the evidence about the secret footage but we saved it - share this before it disappears!!! Comment your reaction NOW and tag everyone you know!!!,conspiracies,03-Aug-20,FAKE
Diplomatic update issued after summit review,"Analysts said on 24-Mar-21 that diplomatic indicators remained within the expected range, citing official records. The announcement followed a month-long review in which the numbers were cross-checked against records from summit. The office declined to comment beyond the prepared statement.",business,06-May-20,REAL
MIRACLE cure for the election discovered - doctors HATE this one trick!!!,Insiders whispered the TRUTH about the election and it is worse than you could ever imagine!!! Everyone is talking about how the deleted files was secretly changed overnight and NOBODY is asking questions!!! If you believe the official story you are being DECEIVED!!! Wake up sheeple!!!,conspiracies,01-Aug-19,FAKE
Officials review economy figures in inflation records,"According to a statement issued on 04-Sep-20, the department reviewed economy data for the quarter. Independent observers who reviewed the materials in inflation described the process as routine and orderly. The office declined to comment beyond the prepared statement.",politics,27-Dec-20,REAL
MIRACLE cure for vaccines discovered - doctors HATE this one trick!!!,The mainstream media will NEVER show you this about vaccines - 100% guaranteed!!! A former employee who wants to stay completely anonymous said the truth about the deleted files is UNBELIEVABLE!!! The fact that this is not on the news proves EVERYTHING!!!,conspiracies,28-Aug-19,FAKE
You won't BELIEVE what insiders revealed about vaccines - banned truth!!!,Insiders whispered the TRUTH about vaccines and it is worse than you could ever imagine!!! A former employee who wants to stay completely anonymous said the truth about the banned report is UNBELIEVABLE!!! Comment your reaction NOW and tag everyone you know!!!,entertainment,11-Sep-20,FAKE
Officials review government figures in legislation records,"According to a statement issued on 05-Mar-21, the department reviewed government data for the quarter. A spokesperson said the findings in legislation were based on filings submitted under existing disclosure rules. Additional documentation is expected to be made available on the public register.",world,27-Sep-20,REAL
Officials review economy figures in inflation records,"Analysts said on 31-May-19 that economy indicators remained within the expected range, citing official records. The announcement followed a month-long review in which the numbers were cross-checked against records from inflation. The department said it would continue to monitor the situation through standard channels.",world,13-Jun-20,REAL
Diplomatic update issued after border talks review,Officials confirmed on 18-Jan-19 that diplomatic figures were released following a routine review. Independent observers who reviewed the materials in border talks described the process as routine and orderly. Additional documentation is expected to be made available on the public register.,business,18-Jan-19,REAL
MIRACLE cure for 5G networks discovered - doctors HATE this one trick!!!,The mainstream media will NEVER show you this about 5G networks - 100% guaranteed!!! A former employee who wants to stay completely anonymous said the truth about the secret footage is UNBELIEVABLE!!! Comment your reaction NOW and tag everyone you know!!!,world,16-Jun-20,FAKE
You won't BELIEVE what insiders revealed about the government - banned truth!!!,Insiders whispered the TRUTH about the government and it is worse than you could ever imagine!!! Anonymous sources claim that the deleted files proves the entire thing was staged from the beginning!!! Comment your reaction NOW and tag everyone you know!!!,conspiracies,24-Mar-21,FAKE
SHOCKING!!! vaccines secret plan EXPOSED - what they don't want you to know!!!,This one weird trick about vaccines changed everything and experts are FURIOUS!!! Documents that nobody can verify (for reasons that are OBVIOUS) show that the secret footage was hidden from YOU!!! SHARE THIS before it gets taken down!!! WAKE UP!!!,world,23-Sep-19,FAKE
Health update issued after vaccine programme review,"Officials confirmed on 06-Jul-21 that health figures were released following a routine review. Researchers noted that the results, published in vaccine programme, are consistent with data collected over the previous year. No unusual activity was reported in connection with the matter.",technology,26-Jun-20,REAL
Officials review economy figures in markets records,"According to a statement issued on 11-Aug-21, the department reviewed economy data for the quarter. Independent observers who reviewed the materials in markets described the process as routine and orderly. Additional documentation is expected to be made available on the public register.",health,27-Jan-21,REAL
MIRACLE cure for the media discovered - doctors HATE this one trick!!!,This one weird trick about the media changed everything and experts are FURIOUS!!! Anonymous sources claim that the leaked memo proves the entire thing was staged from the beginning!!! Comment your reaction NOW and tag everyone you know!!!,health,18-May-19,FAKE
SHOCKING!!! the media secret plan EXPOSED - what they don't want you to know!!!,The mainstream media will NEVER show you this about the media - 100% guaranteed!!! They deleted the evidence about the deleted files but we saved it - share this before it disappears!!! Comment your reaction NOW and tag everyone you know!!!,health,15-Dec-20,FAKE
BREAKING: the media scandal destroys everything - share before it's deleted!!!,The mainstream media will NEVER show you this about the media - 100% guaranteed!!! Documents that nobody can verify (for reasons that are OBVIOUS) show that the leaked memo was hidden from YOU!!! The fact that this is not on the news proves EVERYTHING!!!,politics,03-Dec-19,FAKE
BREAKING: vaccines scandal destroys everything - share before it's deleted!!!,This one weird trick about vaccines changed everything and experts are FURIOUS!!! They deleted the evidence about the banned report but we saved it - share this before it disappears!!! If you believe the official story you are being DECEIVED!!! Wake up sheeple!!!,health,06-Feb-21,FAKE
Officials review health figures in vaccine programme records,The ministry announced on 31-Aug-20 that health statistics had been verified by an independent auditor. Independent observers who reviewed the materials in vaccine programme described the process as routine and orderly. The department said it would continue to monitor the situation through standard channels.,world,08-Nov-19,REAL
MIRACLE cure for 5G networks discovered - doctors HATE this one trick!!!,Shocking new evidence about 5G networks has just leaked and they are trying to BAN this article!!! Documents that nobody can verify (for reasons that are OBVIOUS) show that the banned report was hidden from YOU!!! The fact that this is not on the news proves EVERYTHING!!!,conspiracies,06-Oct-20,FAKE
SHOCKING!!! vaccines secret plan EXPOSED - what they don't want you to know!!!,The mainstream media will NEVER show you this about vaccines - 100% guaranteed!!! Anonymous sources claim that the leaked memo proves the entire thing was staged from the beginning!!! If you believe the official story you are being DECEIVED!!! Wake up sheeple!!!,entertainment,13-Jul-21,FAKE
Government update issued after budget review,A report published on 12-Sep-21 describes how government developments were documented by the agency. The announcement followed a month-long review in which the numbers were cross-checked against records from budget. The office declined to comment beyond the prepared statement.,sports,10-Sep-20,REAL
"BOMBSHELL: the government conspiracy finally uncovered, mainstream media silent!!!",The mainstream media will NEVER show you this about the government - 100% guaranteed!!! A former employee who wants to stay completely anonymous said the truth about the leaked memo is UNBELIEVABLE!!! If you believe the official story you are being DECEIVED!!! Wake up sheeple!!!,entertainment,27-Jun-21,FAKE
Government update issued after budget review,"According to a statement issued on 02-May-20, the department reviewed government data for the quarter. The announcement followed a month-long review in which the numbers were cross-checked against records from budget. The office declined to comment beyond the prepared statement.",business,05-Jan-20,REAL
MIRACLE cure for the media discovered - doctors HATE this one trick!!!,This one weird trick about the media changed everything and experts are FURIOUS!!! Anonymous sources claim that the secret footage proves the entire thing was staged from the beginning!!! Comment your reaction NOW and tag everyone you know!!!,health,06-Jun-21,FAKE
You won't BELIEVE what insiders revealed about the government - banned truth!!!,WAKE UP people!!! the government is a total LIE and we have PROOF!!! Everyone is talking about how the leaked memo was secretly changed overnight and NOBODY is asking questions!!! Comment your reaction NOW and tag everyone you know!!!,entertainment,08-Dec-20,FAKE
Officials review government figures in parliament records,Officials confirmed on 07-Dec-20 that government figures were released following a routine review. The announcement followed a month-long review in which the numbers were cross-checked against records from parliament. The office declined to comment beyond the prepared statement.,politics,14-Jul-20,REAL
Officials review government figures in ministry records,Officials confirmed on 19-Aug-21 that government figures were released following a routine review. A spokesperson said the findings in ministry were based on filings submitted under existing disclosure rules. Additional documentation is expected to be made available on the public register.,politics,30-Jan-21,REAL
Officials review diplomatic figures in diplomacy records,"The ministry announced on 01-Apr-19 that diplomatic statistics had been verified by an independent auditor. Researchers noted that the results, published in diplomacy, are consistent with data collected over the previous year. Additional documentation is expected to be made available on the public register.",technology,04-Jun-21,REAL
Technology update issued after semiconductors review,Officials confirmed on 02-May-20 that technology figures were released following a routine review. The agency stated that further updates concerning semiconductors would be provided during the next scheduled briefing. Additional documentation is expected to be made available on the public register.,politics,07-Apr-20,REAL
Technology update issued after engineering review,The ministry announced on 20-Nov-19 that technology statistics had been verified by an independent auditor. The announcement followed a month-long review in which the numbers were cross-checked against records from engineering. The office declined to comment beyond the prepared statement.,health,07-Jan-19,REAL
Technology update issued after semiconductors review,"Analysts said on 23-Feb-21 that technology indicators remained within the expected range, citing official records. A spokesperson said the findings in semiconductors were based on filings submitted under existing disclosure rules. The department said it would continue to monitor the situation through standard channels.",health,19-Jun-19,REAL
Officials review economy figures in markets records,"Analysts said on 11-Mar-19 that economy indicators remained within the expected range, citing official records. Independent observers who reviewed the materials in markets described the process as routine and orderly. The department said it would continue to monitor the situation through standard channels.",health,18-Feb-20,REAL
Technology update issued after software review,"According to a statement issued on 21-Apr-19, the department reviewed technology data for the quarter. The agency stated that further updates concerning software would be provided during the next scheduled briefing. No unusual activity was reported in connection with the matter.",sports,25-Aug-20,REAL
Economy update issued after employment review,The ministry announced on 26-May-19 that economy statistics had been verified by an independent auditor. Independent observers who reviewed the materials in employment described the process as routine and orderly. Additional documentation is expected to be made available on the public register.,technology,07-Apr-20,REAL
Officials review economy figures in inflation records,"According to a statement issued on 28-Jul-19, the department reviewed economy data for the quarter. Independent observers who reviewed the materials in inflation described the process as routine and orderly. No unusual activity was reported in connection with the matter.",technology,15-Apr-19,REAL
Health update issued after vaccine programme review,The ministry announced on 03-May-21 that health statistics had been verified by an independent auditor. Independent observers who reviewed the materials in vaccine programme described the process as routine and orderly. Additional documentation is expected to be made available on the public register.,sports,25-Jun-20,REAL
You won't BELIEVE what insiders revealed about 5G networks - banned truth!!!,Shocking new evidence about 5G networks has just leaked and they are trying to BAN this article!!! They deleted the evidence about the leaked memo but we saved it - share this before it disappears!!! The fact that this is not on the news proves EVERYTHING!!!,conspiracies,26-Nov-19,FAKE
MIRACLE cure for the government discovered - doctors HATE this one trick!!!,The mainstream media will NEVER show you this about the government - 100% guaranteed!!! Anonymous sources claim that the leaked memo proves the entire thing was staged from the beginning!!! Comment your reaction NOW and tag everyone you know!!!,entertainment,11-Sep-19,FAKE
"BOMBSHELL: the media conspiracy finally uncovered, mainstream media silent!!!",The mainstream media will NEVER show you this about the media - 100% guaranteed!!! They deleted the evidence about the leaked memo but we saved it - share this before it disappears!!! Comment your reaction NOW and tag everyone you know!!!,health,01-Jul-19,FAKE
Health update issued after public health review,The ministry announced on 30-May-19 that health statistics had been verified by an independent auditor. A spokesperson said the findings in public health were based on filings submitted under existing disclosure rules. The office declined to comment beyond the prepared statement.,world,24-Jun-19,REAL
MIRACLE cure for the government discovered - doctors HATE this one trick!!!,Shocking new evidence about the government has just leaked and they are trying to BAN this article!!! A former employee who wants to stay completely anonymous said the truth about the secret footage is UNBELIEVABLE!!! Comment your reaction NOW and tag everyone you know!!!,health,20-Jan-21,FAKE
Officials review government figures in ministry records,"Analysts said on 01-Jun-19 that government indicators remained within the expected range, citing official records. The announcement followed a month-long review in which the numbers were cross-checked against records from ministry. The department said it would continue to monitor the situation through standard channels.",sports,22-Aug-20,REAL
Officials review diplomatic figures in diplomacy records,"A report published on 05-May-21 describes how diplomatic developments were documented by the agency. Researchers noted that the results, published in diplomacy, are consistent with data collected over the previous year. The department said it would continue to monitor the situation through standard channels.",world,18-Sep-21,REAL
Officials review technology figures in software records,"The ministry announced on 07-Jul-19 that technology statistics had been verified by an independent auditor. Researchers noted that the results, published in software, are consistent with data collected over the previous year. The office declined to comment beyond the prepared statement.",politics,29-Mar-20,REAL
You won't BELIEVE what insiders revealed about the government - banned truth!!!,The mainstream media will NEVER show you this about the government - 100% guaranteed!!! A former employee who wants to stay completely anonymous said the truth about the banned report is UNBELIEVABLE!!! If you believe the official story you are being DECEIVED!!! Wake up sheeple!!!,world,01-Jan-21,FAKE
Officials review health figures in public health records,A report published on 04-Jul-21 describes how health developments were documented by the agency. Independent observers who reviewed the materials in public health described the process as routine and orderly. Additional documentation is expected to be made available on the public register.,sports,30-Nov-20,REAL
BREAKING: the government scandal destroys everything - share before it's deleted!!!,Shocking new evidence about the government has just leaked and they are trying to BAN this article!!! Everyone is talking about how the banned report was secretly changed overnight and NOBODY is asking questions!!! Comment your reaction NOW and tag everyone you know!!!,entertainment,08-Jul-19,FAKE
Officials review government figures in budget records,The ministry announced on 06-Aug-21 that government statistics had been verified by an independent auditor. Independent observers who reviewed the materials in budget described the process as routine and orderly. The office declined to comment beyond the prepared statement.,business,16-Aug-19,REAL
"BOMBSHELL: the government conspiracy finally uncovered, mainstream media silent!!!",The mainstream media will NEVER show you this about the government - 100% guaranteed!!! Anonymous sources claim that the leaked memo proves the entire thing was staged from the beginning!!! SHARE THIS before it gets taken down!!! WAKE UP!!!,conspiracies,23-Feb-21,FAKE
SHOCKING!!! vaccines secret plan EXPOSED - what they don't want you to know!!!,Shocking new evidence about vaccines has just leaked and they are trying to BAN this article!!! They deleted the evidence about the leaked memo but we saved it - share this before it disappears!!! Comment your reaction NOW and tag everyone you know!!!,health,15-Aug-20,FAKE
"BOMBSHELL: the media conspiracy finally uncovered, mainstream media silent!!!",Shocking new evidence about the media has just leaked and they are trying to BAN this article!!! Anonymous sources claim that the deleted files proves the entire thing was staged from the beginning!!! If you believe the official story you are being DECEIVED!!! Wake up sheeple!!!,world,30-May-20,FAKE
Officials review economy figures in inflation records,A report published on 05-Apr-20 describes how economy developments were documented by the agency. The agency stated that further updates concerning inflation would be provided during the next scheduled briefing. Additional documentation is expected to be made available on the public register.,health,02-Jan-20,REAL
Officials review technology figures in research records,The ministry announced on 23-Feb-20 that technology statistics had been verified by an independent auditor. A spokesperson said the findings in research were based on filings submitted under existing disclosure rules. Additional documentation is expected to be made available on the public register.,health,29-Apr-20,REAL
"BOMBSHELL: the media conspiracy finally uncovered, mainstream media silent!!!",Insiders whispered the TRUTH about the media and it is worse than you could ever imagine!!! Everyone is talking about how the deleted files was secretly changed overnight and NOBODY is asking questions!!! If you believe the official story you are being DECEIVED!!! Wake up sheeple!!!,health,29-Oct-19,FAKE
MIRACLE cure for the media discovered - doctors HATE this one trick!!!,WAKE UP people!!! the media is a total LIE and we have PROOF!!! Everyone is talking about how the deleted files was secretly changed overnight and NOBODY is asking questions!!! The fact that this is not on the news proves EVERYTHING!!!,world,27-Mar-19,FAKE
Officials review health figures in clinic records,"According to a statement issued on 09-Mar-20, the department reviewed health data for the quarter. Independent observers who reviewed the materials in clinic described the process as routine and orderly. The office declined to comment beyond the prepared statement.",business,11-Aug-19,REAL
You won't BELIEVE what insiders revealed about vaccines - banned truth!!!,The mainstream media will NEVER show you this about vaccines - 100% guaranteed!!! Documents that nobody can verify (for reasons that are OBVIOUS) show that the leaked memo was hidden from YOU!!! The fact that this is not on the news proves EVERYTHING!!!,world,17-Mar-19,FAKE
"BOMBSHELL: the government conspiracy finally uncovered, mainstream media silent!!!",The mainstream media will NEVER show you this about the government - 100% guaranteed!!! Everyone is talking about how the banned report was secretly changed overnight and NOBODY is asking questions!!! SHARE THIS before it gets taken down!!! WAKE UP!!!,world,04-Feb-21,FAKE
BREAKING: the election scandal destroys everything - share before it's deleted!!!,Shocking new evidence about the election has just leaked and they are trying to BAN this article!!! They deleted the evidence about the secret footage but we saved it - share this before it disappears!!! If you believe the official story you are being DECEIVED!!! Wake up sheeple!!!,politics,26-Feb-20,FAKE
Government update issued after parliament review,The ministry announced on 27-Feb-20 that government statistics had been verified by an independent auditor. The announcement followed a month-long review in which the numbers were cross-checked against records from parliament. No unusual activity was reported in connection with the matter.,health,13-Sep-21,REAL
Officials review health figures in hospital records,"According to a statement issued on 12-Jan-20, the department reviewed health data for the quarter. Independent observers who reviewed the materials in hospital described the process as routine and orderly. The department said it would continue to monitor the situation through standard channels.",world,04-May-20,REAL
Economy update issued after trade review,"The ministry announced on 06-Apr-20 that economy statistics had been verified by an independent auditor. Researchers noted that the results, published in trade, are consistent with data collected over the previous year. Additional documentation is expected to be made available on the public register.",world,02-Aug-20,REAL
"BOMBSHELL: the government conspiracy finally uncovered, mainstream media silent!!!",Insiders whispered the TRUTH about the government and it is worse than you could ever imagine!!! Everyone is talking about how the deleted files was secretly changed overnight and NOBODY is asking questions!!! Comment your reaction NOW and tag everyone you know!!!,politics,08-Nov-20,FAKE
Technology update issued after research review,The ministry announced on 07-Dec-20 that technology statistics had been verified by an independent auditor. The agency stated that further updates concerning research would be provided during the next scheduled briefing. The office declined to comment beyond the prepared statement.,world,26-Apr-19,REAL
Economy update issued after inflation review,"Officials confirmed on 16-Mar-21 that economy figures were released following a routine review. Researchers noted that the results, published in inflation, are consistent with data collected over the previous year. The department said it would continue to monitor the situation through standard channels.",health,30-Jul-19,REAL
MIRACLE cure for the election discovered - doctors HATE this one trick!!!,Shocking new evidence about the election has just leaked and they are trying to BAN this article!!! Documents that nobody can verify (for reasons that are OBVIOUS) show that the deleted files was hidden from YOU!!! SHARE THIS before it gets taken down!!! WAKE UP!!!,conspiracies,04-Jul-19,FAKE
Economy update issued after trade review,"The ministry announced on 18-Nov-19 that economy statistics had been verified by an independent auditor. Researchers noted that the results, published in trade, are consistent with data collected over the previous year. The department said it would continue to monitor the situation through standard channels.",politics,23-Jan-21,REAL
Government update issued after parliament review,"Analysts said on 17-May-19 that government indicators remained within the expected range, citing official records. The agency stated that further updates concerning parliament would be provided during the next scheduled briefing. No unusual activity was reported in connection with the matter.",politics,21-Mar-20,REAL
Officials review technology figures in software records,"According to a statement issued on 16-Jun-21, the department reviewed technology data for the quarter. The announcement followed a month-long review in which the numbers were cross-checked against records from software. No unusual activity was reported in connection with the matter.",health,20-Apr-19,REAL
Officials review economy figures in markets records,The ministry announced on 05-Apr-21 that economy statistics had been verified by an independent auditor. The announcement followed a month-long review in which the numbers were cross-checked against records from markets. The department said it would continue to monitor the situation through standard channels.,world,03-Jul-21,REAL
Officials review health figures in clinic records,"According to a statement issued on 28-Aug-19, the department reviewed health data for the quarter. The announcement followed a month-long review in which the numbers were cross-checked against records from clinic. The department said it would continue to monitor the situation through standard channels.",health,22-Apr-19,REAL
Officials review health figures in vaccine programme records,Officials confirmed on 23-Nov-20 that health figures were released following a routine review. The announcement followed a month-long review in which the numbers were cross-checked against records from vaccine programme. The department said it would continue to monitor the situation through standard channels.,business,16-Nov-19,REAL
Economy update issued after markets review,"According to a statement issued on 28-May-21, the department reviewed economy data for the quarter. A spokesperson said the findings in markets were based on filings submitted under existing disclosure rules. The office declined to comment beyond the prepared statement.",health,27-Feb-20,REAL
Health update issued after vaccine programme review,"Analysts said on 17-Oct-20 that health indicators remained within the expected range, citing official records. Independent observers who reviewed the materials in vaccine programme described the process as routine and orderly. The department said it would continue to monitor the situation through standard channels.",world,19-Mar-20,REAL
SHOCKING!!! the government secret plan EXPOSED - what they don't want you to know!!!,Shocking new evidence about the government has just leaked and they are trying to BAN this article!!! Anonymous sources claim that the banned report proves the entire thing was staged from the beginning!!! Comment your reaction NOW and tag everyone you know!!!,health,15-Mar-19,FAKE
Diplomatic update issued after border talks review,"According to a statement issued on 06-Sep-21, the department reviewed diplomatic data for the quarter. A spokesperson said the findings in border talks were based on filings submitted under existing disclosure rules. The office declined to comment beyond the prepared statement.",business,13-Jul-20,REAL
SHOCKING!!! vaccines secret plan EXPOSED - what they don't want you to know!!!,The mainstream media will NEVER show you this about vaccines - 100% guaranteed!!! They deleted the evidence about the secret footage but we saved it - share this before it disappears!!! SHARE THIS before it gets taken down!!! WAKE UP!!!,entertainment,27-Nov-19,FAKE
Health update issued after hospital review,"Analysts said on 08-Feb-19 that health indicators remained within the expected range, citing official records. The agency stated that further updates concerning hospital would be provided during the next scheduled briefing. The office declined to comment beyond the prepared statement.",health,21-Oct-19,REAL
Economy update issued after markets review,The ministry announced on 11-Jun-20 that economy statistics had been verified by an independent auditor. The agency stated that further updates concerning markets would be provided during the next scheduled briefing. The office declined to comment beyond the prepared statement.,technology,24-Jan-19,REAL
Officials review health figures in public health records,Officials confirmed on 28-Oct-19 that health figures were released following a routine review. The agency stated that further updates concerning public health would be provided during the next scheduled briefing. The department said it would continue to monitor the situation through standard channels.,sports,15-Jun-21,REAL
Technology update issued after semiconductors review,"Analysts said on 27-Apr-19 that technology indicators remained within the expected range, citing official records. Researchers noted that the results, published in semiconductors, are consistent with data collected over the previous year. Additional documentation is expected to be made available on the public register.",politics,17-Feb-21,REAL
MIRACLE cure for the government discovered - doctors HATE this one trick!!!,Shocking new evidence about the government has just leaked and they are trying to BAN this article!!! Everyone is talking about how the secret footage was secretly changed overnight and NOBODY is asking questions!!! Comment your reaction NOW and tag everyone you know!!!,world,24-Jun-19,FAKE
MIRACLE cure for 5G networks discovered - doctors HATE this one trick!!!,Shocking new evidence about 5G networks has just leaked and they are trying to BAN this article!!! Documents that nobody can verify (for reasons that are OBVIOUS) show that the deleted files was hidden from YOU!!! The fact that this is not on the news proves EVERYTHING!!!,health,14-Aug-19,FAKE
SHOCKING!!! 5G networks secret plan EXPOSED - what they don't want you to know!!!,Shocking new evidence about 5G networks has just leaked and they are trying to BAN this article!!! A former employee who wants to stay completely anonymous said the truth about the leaked memo is UNBELIEVABLE!!! The fact that this is not on the news proves EVERYTHING!!!,entertainment,16-Oct-20,FAKE
SHOCKING!!! 5G networks secret plan EXPOSED - what they don't want you to know!!!,Insiders whispered the TRUTH about 5G networks and it is worse than you could ever imagine!!! They deleted the evidence about the leaked memo but we saved it - share this before it disappears!!! The fact that this is not on the news proves EVERYTHING!!!,entertainment,27-Sep-21,FAKE
MIRACLE cure for the media discovered - doctors HATE this one trick!!!,The mainstream media will NEVER show you this about the media - 100% guaranteed!!! Everyone is talking about how the deleted files was secretly changed overnight and NOBODY is asking questions!!! If you believe the official story you are being DECEIVED!!! Wake up sheeple!!!,world,01-Jun-20,FAKE
"BOMBSHELL: the media conspiracy finally uncovered, mainstream media silent!!!",Insiders whispered the TRUTH about the media and it is worse than you could ever imagine!!! Documents that nobody can verify (for reasons that are OBVIOUS) show that the leaked memo was hidden from YOU!!! SHARE THIS before it gets taken down!!! WAKE UP!!!,conspiracies,27-Dec-20,FAKE
Government update issued after legislation review,A report published on 26-Nov-19 describes how government developments were documented by the agency. A spokesperson said the findings in legislation were based on filings submitted under existing disclosure rules. The office declined to comment beyond the prepared statement.,business,05-Oct-19,REAL
Technology update issued after semiconductors review,"According to a statement issued on 28-Feb-20, the department reviewed technology data for the quarter. The agency stated that further updates concerning semiconductors would be provided during the next scheduled briefing. No unusual activity was reported in connection with the matter.",health,15-Jul-21,REAL
Officials review diplomatic figures in treaty records,"The ministry announced on 04-Nov-19 that diplomatic statistics had been verified by an independent auditor. Researchers noted that the results, published in treaty, are consistent with data collected over the previous year. No unusual activity was reported in connection with the matter.",sports,17-Jun-19,REAL
"BOMBSHELL: 5G networks conspiracy finally uncovered, mainstream media silent!!!",Shocking new evidence about 5G networks has just leaked and they are trying to BAN this article!!! Anonymous sources claim that the deleted files proves the entire thing was staged from the beginning!!! If you believe the official story you are being DECEIVED!!! Wake up sheeple!!!,health,07-Mar-19,FAKE
Officials review economy figures in employment records,"According to a statement issued on 19-Apr-20, the department reviewed economy data for the quarter. Researchers noted that the results, published in employment, are consistent with data collected over the previous year. No unusual activity was reported in connection with the matter.",sports,08-Nov-19,REAL
MIRACLE cure for the government discovered - doctors HATE this one trick!!!,Shocking new evidence about the government has just leaked and they are trying to BAN this article!!! A former employee who wants to stay completely anonymous said the truth about the banned report is UNBELIEVABLE!!! If you believe the official story you are being DECEIVED!!! Wake up sheeple!!!,entertainment,21-May-21,FAKE
SHOCKING!!! the government secret plan EXPOSED - what they don't want you to know!!!,The mainstream media will NEVER show you this about the government - 100% guaranteed!!! Anonymous sources claim that the banned report proves the entire thing was staged from the beginning!!! If you believe the official story you are being DECEIVED!!! Wake up sheeple!!!,conspiracies,14-Apr-20,FAKE
Officials review technology figures in engineering records,"According to a statement issued on 20-Aug-19, the department reviewed technology data for the quarter. Researchers noted that the results, published in engineering, are consistent with data collected over the previous year. No unusual activity was reported in connection with the matter.",sports,14-Nov-20,REAL
Diplomatic update issued after treaty review,A report published on 04-Feb-19 describes how diplomatic developments were documented by the agency. Independent observers who reviewed the materials in treaty described the process as routine and orderly. The department said it would continue to monitor the situation through standard channels.,sports,06-Feb-19,REAL
"BOMBSHELL: the media conspiracy finally uncovered, mainstream media silent!!!",WAKE UP people!!! the media is a total LIE and we have PROOF!!! They deleted the evidence about the secret footage but we saved it - share this before it disappears!!! SHARE THIS before it gets taken down!!! WAKE UP!!!,world,07-Dec-20,FAKE
You won't BELIEVE what insiders revealed about the election - banned truth!!!,The mainstream media will NEVER show you this about the election - 100% guaranteed!!! They deleted the evidence about the banned report but we saved it - share this before it disappears!!! Comment your reaction NOW and tag everyone you know!!!,politics,24-Jul-21,FAKE
BREAKING: the election scandal destroys everything - share before it's deleted!!!,Shocking new evidence about the election has just leaked and they are trying to BAN this article!!! Documents that nobody can verify (for reasons that are OBVIOUS) show that the banned report was hidden from YOU!!! Comment your reaction NOW and tag everyone you know!!!,entertainment,05-Apr-19,FAKE
BREAKING: the media scandal destroys everything - share before it's deleted!!!,Insiders whispered the TRUTH about the media and it is worse than you could ever imagine!!! A former employee who wants to stay completely anonymous said the truth about the deleted files is UNBELIEVABLE!!! Comment your reaction NOW and tag everyone you know!!!,politics,29-Jan-19,FAKE
SHOCKING!!! the election secret plan EXPOSED - what they don't want you to know!!!,The mainstream media will NEVER show you this about the election - 100% guaranteed!!! Anonymous sources claim that the deleted files proves the entire thing was staged from the beginning!!! Comment your reaction NOW and tag everyone you know!!!,health,14-May-21,FAKE
Officials review economy figures in employment records,"Analysts said on 01-Feb-20 that economy indicators remained within the expected range, citing official records. Independent observers who reviewed the materials in employment described the process as routine and orderly. No unusual activity was reported in connection with the matter.",business,21-Dec-20,REAL
Health update issued after vaccine programme review,A report published on 11-Jul-19 describes how health developments were documented by the agency. A spokesperson said the findings in vaccine programme were based on filings submitted under existing disclosure rules. Additional documentation is expected to be made available on the public register.,politics,07-Nov-20,REAL
SHOCKING!!! vaccines secret plan EXPOSED - what they don't want you to know!!!,The mainstream media will NEVER show you this about vaccines - 100% guaranteed!!! Anonymous sources claim that the deleted files proves the entire thing was staged from the beginning!!! If you believe the official story you are being DECEIVED!!! Wake up sheeple!!!,conspiracies,01-Mar-19,FAKE
"BOMBSHELL: 5G networks conspiracy finally uncovered, mainstream media silent!!!",WAKE UP people!!! 5G networks is a total LIE and we have PROOF!!! Documents that nobody can verify (for reasons that are OBVIOUS) show that the deleted files was hidden from YOU!!! SHARE THIS before it gets taken down!!! WAKE UP!!!,conspiracies,01-Jul-19,FAKE
"BOMBSHELL: 5G networks conspiracy finally uncovered, mainstream media silent!!!",WAKE UP people!!! 5G networks is a total LIE and we have PROOF!!! They deleted the evidence about the banned report but we saved it - share this before it disappears!!! The fact that this is not on the news proves EVERYTHING!!!,health,03-Aug-19,FAKE
